OrderDate,Region,Rep,Item,Units,Unit Cost,Total
01/06/2014,East,Jones,Pencil,95,1.99,189.05
1/23/14,Central,Kivell,Binder,50,19.99,999.5
02/09/2014,Central,Jardine,Pencil,36,4.99,179.64
2/26/14,Central,Gill,Pen,27,19.99,539.73
3/15/14,West,Sorvino,Pencil,56,2.99,167.44
04/01/2014,East,Jones,Binder,60,4.99,299.4
4/18/14,Central,Andrews,Pencil,75,1.99,149.25
05/05/2014,Central,Jardine,Pencil,90,4.99,449.1
5/22/14,West,Thompson,Pencil,32,1.99,63.68
06/08/2014,East,Jones,Binder,60,8.99,539.4
6/25/14,Central,Morgan,Pencil,90,4.99,449.1
07/12/2014,East,Howard,Binder,29,1.99,57.71
7/29/14,East,Parent,Binder,81,19.99,10.00
8/15/14,East,Jones,Pencil,35,4.99,174.65
09/01/2014,Central,Smith,Desk,2,125,250
9/18/14,East,Jones,Pen Set,16,15.99,255.84
10/05/2014,Central,Morgan,Binder,28,8.99,251.72
10/22/14,East,Jones,Pen,64,8.99,575.36
11/08/2014,East,Parent,Pen,15,19.99,299.85
11/25/14,Central,Kivell,Pen Set,96,4.99,479.04
12/12/2014,Central,Smith,Pencil,67,1.29,86.43
12/29/14,East,Parent,Pen Set,74,15.99,50.00
1/15/15,Central,Gill,Binder,46,8.99,413.54
02/01/2015,Central,Smith,Binder,87,15,8.00
2/18/15,East,Jones,Binder,4,4.99,19.96
03/07/2015,West,Sorvino,Binder,7,19.99,139.93
3/24/15,Central,Jardine,Pen Set,50,4.99,249.5
04/10/2015,Central,Andrews,Pencil,66,1.99,131.34
4/27/15,East,Howard,Pen,96,4.99,479.04
5/14/15,Central,Gill,Pencil,53,1.29,68.37
5/31/15,Central,Gill,Binder,80,8.99,719.2
6/17/15,Central,Kivell,Desk,5,125,625
07/04/2015,East,Jones,Pen Set,62,4.99,309.38
7/21/15,Central,Morgan,Pen Set,55,12.49,686.95
08/07/2015,Central,Kivell,Pen Set,42,23.95,22.00
8/24/15,West,Sorvino,Desk,3,275,825
09/10/2015,Central,Gill,Pencil,7,1.29,9.03
9/27/15,West,Sorvino,Pen,76,1.99,151.24
10/14/15,West,Thompson,Binder,57,19.99,222.00
10/31/15,Central,Andrews,Pencil,14,1.29,18.06
11/17/15,Central,Jardine,Binder,11,4.99,54.89
12/04/2015,Central,Jardine,Binder,94,19.99,222.00
12/21/15,Central,Andrews,Binder,28,4.99,139.72
